,Index,Node,Nbr_Node,Nbr_Count,Hello_Cnt,AODV_Msg_Nbr_Cnt,RREQs_Sent_To_Nbr,RREQs_From_Nbr,Nbr_Never_Sends_RREQ,Nbr_Is_Orig_Cnt,Nbr_Never_Orig,Nbr_Is_Dest_Cnt,Nbr_Never_Dest,All_RREPs_Rcvd_This_Node,RREPs_From_Nbr,RREP_Resp_Pct,Pct_Of_All_RREPs,Hop_Cnt_Over_1_Cnt,Hop_Cnt_Over_1_Pct,High_Dest_Seq_Num_Inc_Cnt,High_Dest_Seq_Num_Inc_Pct,Avg_Resp_Dly,Avg_Resp_Dly_Per_Hop,RERRs_From_Nbr,RERRs_From_Nbr_Pct,Pct_of_All_Nbrs,RREP_To_Nbrs_Ratio,Black_Hole_Node
409,410,10.1.1.5,10.1.1.33,42,53,18,136,9,FALSE,0,TRUE,0,TRUE,447,0,0,0,0,,0,,,,9,,2.38,0,FALSE
410,411,10.1.1.5,10.1.1.9,42,22,41,136,14,FALSE,1,FALSE,0,TRUE,447,24,17.65,5.37,17,70.83,0,0,3.385488333,1.031055787,3,12.5,2.38,2.256302521,FALSE
411,412,10.1.1.5,10.1.1.6,42,157,220,136,105,FALSE,1,FALSE,0,TRUE,447,91,66.91,20.36,48,52.75,0,0,2.464274022,0.643499562,24,26.37,2.38,8.554621849,FALSE
412,413,10.1.1.5,10.1.1.14,42,40,22,136,16,FALSE,15,FALSE,0,TRUE,447,3,2.21,0.67,1,33.33,0,0,0.760093333,0.268277444,3,100,2.38,0.281512605,FALSE
413,414,10.1.1.5,10.1.1.10,42,54,0,136,0,TRUE,0,TRUE,0,TRUE,447,0,0,0,0,,0,,,,0,,2.38,0,FALSE
414,415,10.1.1.5,10.1.1.15,42,15,0,136,0,TRUE,0,TRUE,0,TRUE,447,0,0,0,0,,0,,,,0,,2.38,0,FALSE
415,416,10.1.1.5,10.1.1.7,42,19,0,136,0,TRUE,0,TRUE,0,TRUE,447,0,0,0,0,,0,,,,0,,2.38,0,FALSE
416,417,10.1.1.5,10.1.1.29,42,32,49,136,28,FALSE,0,TRUE,0,TRUE,447,15,11.03,3.36,13,86.67,0,0,2.8580892,0.687608125,6,40,2.38,1.411764706,FALSE
417,418,10.1.1.5,10.1.1.43,42,7,0,136,0,TRUE,0,TRUE,0,TRUE,447,0,0,0,0,,0,,,,0,,2.38,0,FALSE
418,419,10.1.1.5,10.1.1.8,42,56,15,136,13,FALSE,0,TRUE,0,TRUE,447,2,1.47,0.45,0,0,0,0,1.782235,1.782235,0,0,2.38,0.18907563,FALSE
419,420,10.1.1.5,10.1.1.39,42,70,43,136,25,FALSE,0,TRUE,0,TRUE,447,7,5.15,1.57,1,14.29,0,0,1.440577286,0.720185738,11,157.14,2.38,0.659663866,FALSE
420,421,10.1.1.5,10.1.1.36,42,8,0,136,0,TRUE,0,TRUE,0,TRUE,447,0,0,0,0,,0,,,,0,,2.38,0,FALSE
421,422,10.1.1.5,10.1.1.35,42,9,0,136,0,TRUE,0,TRUE,0,TRUE,447,0,0,0,0,,0,,,,0,,2.38,0,FALSE
422,423,10.1.1.5,10.1.1.28,42,42,0,136,0,TRUE,0,TRUE,0,TRUE,447,0,0,0,0,,0,,,,0,,2.38,0,FALSE
423,424,10.1.1.5,10.1.1.46,42,20,75,136,39,FALSE,3,FALSE,0,TRUE,447,24,17.65,5.37,5,20.83,0,0,1.543466292,1.036056269,12,50,2.38,2.256302521,FALSE
424,425,10.1.1.5,10.1.1.26,42,14,10,136,3,FALSE,0,TRUE,0,TRUE,447,0,0,0,0,,0,,,,7,,2.38,0,FALSE
425,426,10.1.1.5,10.1.1.38,42,26,78,136,29,FALSE,0,TRUE,0,TRUE,447,26,19.12,5.82,11,42.31,0,0,1.797866115,0.541592338,23,88.46,2.38,2.445378151,FALSE
426,427,10.1.1.5,10.1.1.34,42,17,28,136,10,FALSE,0,TRUE,0,TRUE,447,12,8.82,2.68,11,91.67,0,0,2.60967525,0.765878171,6,50,2.38,1.12605042,FALSE
427,428,10.1.1.5,10.1.1.16,42,50,0,136,0,TRUE,0,TRUE,0,TRUE,447,0,0,0,0,,0,,,,0,,2.38,0,FALSE
428,429,10.1.1.5,10.1.1.25,42,17,64,136,30,FALSE,1,FALSE,0,TRUE,447,14,10.29,3.13,2,14.29,0,0,2.521976357,1.242426667,20,142.86,2.38,1.31512605,FALSE
429,430,10.1.1.5,10.1.1.37,42,15,63,136,18,FALSE,1,FALSE,0,TRUE,447,30,22.06,6.71,27,90,0,0,2.610612333,0.572984467,15,50,2.38,2.819327731,FALSE
430,431,10.1.1.5,10.1.1.2,42,8,47,136,23,FALSE,0,TRUE,0,TRUE,447,18,13.24,4.03,9,50,0,0,3.815278444,1.598401542,6,33.33,2.38,1.693277311,FALSE
431,432,10.1.1.5,10.1.1.27,42,20,5,136,5,FALSE,0,TRUE,0,TRUE,447,0,0,0,0,,0,,,,0,,2.38,0,FALSE
432,433,10.1.1.5,10.1.1.1,42,20,77,136,40,FALSE,3,FALSE,0,TRUE,447,17,12.5,3.8,4,23.53,0,0,1.223103118,0.802582377,20,117.65,2.38,1.596638655,FALSE
433,434,10.1.1.5,10.1.1.44,42,11,0,136,0,TRUE,0,TRUE,0,TRUE,447,0,0,0,0,,0,,,,0,,2.38,0,FALSE
434,435,10.1.1.5,10.1.1.18,42,23,36,136,15,FALSE,7,FALSE,0,TRUE,447,14,10.29,3.13,14,100,0,0,3.929281357,0.587089213,7,50,2.38,1.31512605,FALSE
435,436,10.1.1.5,10.1.1.20,42,32,16,136,16,FALSE,0,TRUE,0,TRUE,447,0,0,0,0,,0,,,,0,,2.38,0,FALSE
436,437,10.1.1.5,10.1.1.3,42,30,141,136,0,TRUE,0,TRUE,0,TRUE,136,136,100,100,0,0,136,100,1.509058982,0.568240472,0,0,2.38,42.01680672,TRUE
437,438,10.1.1.5,10.1.1.30,42,18,4,136,1,FALSE,0,TRUE,0,TRUE,447,2,1.47,0.45,2,100,0,0,2.477993,0.61949825,1,50,2.38,0.18907563,FALSE
438,439,10.1.1.5,10.1.1.4,42,21,9,136,0,TRUE,0,TRUE,0,TRUE,136,136,100,100,0,0,136,100,,,0,0,2.38,42.01680672,TRUE
439,440,10.1.1.5,10.1.1.19,42,24,0,136,0,TRUE,0,TRUE,0,TRUE,447,0,0,0,0,,0,,,,0,,2.38,0,FALSE
440,441,10.1.1.5,10.1.1.45,42,18,0,136,0,TRUE,0,TRUE,0,TRUE,447,0,0,0,0,,0,,,,0,,2.38,0,FALSE
